id,sessionStart,sessionStop,connectorType,energy_consumption(kWh),authType,authId,chargerId,locationId,duration_hrs,time_based_util_rate,Month,Season,day,Carbon Intensity (gCO2/kWh),Carbon Emissions (gCO2)
1ff7bb21-86f6-4a58-9713-63c9551b0dc3,18/03/2021 17:39,18/03/2021 17:59,IEC_62196_T2_COMBO,9.509,CUSTOMER,1062232,5000198,50112,0.325,1.354166667,3,Spring,Thursday,60,570.54
4ec4bf07-f359-4199-93d3-ec842a450cfa,18/03/2021 19:00,18/03/2021 19:33,CHADEMO,6.566,CUSTOMER,1056758,5000194,50112,0.5575,2.322916667,3,Spring,Thursday,66,433.356
63ef2126-e813-4225-982d-fcd89108f2ba,18/03/2021 20:43,18/03/2021 21:07,CHADEMO,13.882,CUSTOMER,1076569,5000197,50112,0.406944444,1.695601852,3,Spring,Thursday,71,985.622
707dbb44-cb45-4cea-ab86-dec7c06d6a43,18/03/2021 21:23,18/03/2021 21:47,IEC_62196_T2_COMBO,18.428,CUSTOMER,1073736,5000198,50112,0.407777778,1.699074074,3,Spring,Thursday,56,1031.968
55a243f9-6c3a-4a53-a964-fc7f3d88ddb7,18/03/2021 22:24,18/03/2021 23:09,CHADEMO,12.836,CUSTOMER,1073736,5000197,50112,0.751111111,3.12962963,3,Spring,Thursday,46,590.456
7044201b-713f-48cc-82a5-b2eaed96ca4d,19/03/2021 07:14,19/03/2021 07:54,CHADEMO,14.757,CUSTOMER,1053468,5000194,50112,0.661388889,2.755787037,3,Spring,Friday,91,1342.887
ad121474-085d-4f7e-8edb-1f3045b3ddf5,19/03/2021 10:24,19/03/2021 10:51,CHADEMO,14.025,CUSTOMER,1073736,5000194,50112,0.459444444,1.914351852,3,Spring,Friday,135,1893.375
6e54ee4e-fdaf-41ca-bf7c-2a1b86f19237,19/03/2021 10:29,19/03/2021 11:20,IEC_62196_T2_COMBO,14.223,CHARGE_CARD,18605207,5000199,50112,0.846944444,3.528935185,3,Spring,Friday,135,1920.105
669ff3c8-c05e-40bd-820e-a4bfccfa76cb,19/03/2021 11:14,19/03/2021 11:45,CHADEMO,12.169,CUSTOMER,1073736,5000197,50112,0.509444444,2.122685185,3,Spring,Friday,131,1594.139
b4caeaef-bbe8-4ed1-8bbc-e8fb1bf29a39,19/03/2021 11:57,19/03/2021 12:28,IEC_62196_T2_COMBO,13.226,CUSTOMER,1073736,5000199,50112,0.5125,2.135416667,3,Spring,Friday,128,1692.928
838e0a22-b360-4ddd-b89c-d6bd17c6bb24,19/03/2021 15:08,19/03/2021 15:51,CHADEMO,7.892,ANONYMOUS,2361077,5000197,50112,0.718055556,2.991898148,3,Spring,Friday,139,1096.988
9143370b-5d9c-4806-9817-9a31100c22c4,19/03/2021 17:28,19/03/2021 17:52,CHADEMO,12.572,CUSTOMER,1076569,5000197,50112,0.403888889,1.68287037,3,Spring,Friday,144,1810.368
c145aedf-334d-497a-9294-8f64c3ad9741,19/03/2021 20:12,19/03/2021 20:38,CHADEMO,12.274,CUSTOMER,1075863,5000194,50112,0.430833333,1.795138889,3,Spring,Friday,134,1644.716
55d361b1-506c-47dd-8105-60d180d51b8b,19/03/2021 21:02,19/03/2021 21:32,IEC_62196_T2_COMBO,13.197,CUSTOMER,1073736,5000198,50112,0.495277778,2.063657407,3,Spring,Friday,137,1807.989
f5f2e358-10f9-45e5-8af8-9bfac151b1b3,20/03/2021 05:24,20/03/2021 06:09,CHADEMO,15.576,CUSTOMER,1075847,5000196,50112,0.751388889,3.130787037,3,Spring,Saturday,41,638.616
c063d25b-a7d3-45e0-bd80-58d8b790dd0b,20/03/2021 07:30,20/03/2021 08:53,CHADEMO,31.514,CUSTOMER,1053468,5000194,50112,1.384722222,5.769675926,3,Spring,Saturday,43,1355.102
f0fb3b18-cead-4bfe-a760-4f5f11b6dc93,20/03/2021 10:07,20/03/2021 10:45,IEC_62196_T2_COMBO,18.718,CUSTOMER,1073736,5000199,50112,0.623055556,2.596064815,3,Spring,Saturday,41,767.438
a24715cf-220e-4900-b0ab-47f9bc5c7482,20/03/2021 10:50,20/03/2021 11:20,CHADEMO,9.443,CUSTOMER,1075847,5000196,50112,0.513611111,2.140046296,3,Spring,Saturday,30,283.29
73feb5f7-5b34-424d-8531-87c98507be51,20/03/2021 14:22,20/03/2021 14:58,IEC_62196_T2_COMBO,28.291,CUSTOMER,1066002,5000199,50112,0.591111111,2.462962963,3,Spring,Saturday,32,905.312
ee36f82c-2ab4-4b15-9d3e-cb9de1f0af45,20/03/2021 16:38,20/03/2021 17:23,IEC_62196_T2_COMBO,13.848,ANONYMOUS,2369868,5000197,50112,0.763055556,3.179398148,3,Spring,Saturday,31,429.288
425734f4-cf3c-40ce-a56d-be9dda9a61a4,20/03/2021 17:40,20/03/2021 18:00,IEC_62196_T2_COMBO,16.851,CUSTOMER,1071861,5000195,50112,0.343333333,1.430555556,3,Spring,Saturday,32,539.232
15b05aef-c793-4ade-affe-02cb6cd94b7c,20/03/2021 18:54,20/03/2021 19:27,IEC_62196_T2_COMBO,18.91,CUSTOMER,1073736,5000199,50112,0.551388889,2.297453704,3,Spring,Saturday,41,775.31
0e75857b-963a-450a-b0b6-2841c69ed811,20/03/2021 19:56,20/03/2021 20:23,CHADEMO,7.263,CUSTOMER,1075863,5000197,50112,0.441666667,1.840277778,3,Spring,Saturday,43,312.309
4a4f9373-0e68-4ef2-a611-78c25fa192af,20/03/2021 20:34,20/03/2021 21:10,CHADEMO,6.854,CUSTOMER,1075863,5000197,50112,0.593888889,2.474537037,3,Spring,Saturday,39,267.306
3e973138-519f-46c5-8795-e894448efcc9,20/03/2021 21:29,20/03/2021 22:01,IEC_62196_T2_COMBO,23.76,CUSTOMER,1073736,5000199,50112,0.526388889,2.193287037,3,Spring,Saturday,33,784.08
79e80ddd-fd09-4cf0-9e84-e9183fb05979,21/03/2021 05:25,21/03/2021 06:11,CHADEMO,13.966,CUSTOMER,1075847,5000195,50112,0.751388889,3.130787037,3,Spring,Sunday,41,572.606
914f0fee-e922-4b45-83eb-b13d6035eb97,21/03/2021 06:34,21/03/2021 06:56,CHADEMO,14.603,CUSTOMER,1053468,5000194,50112,0.373333333,1.555555556,3,Spring,Sunday,60,876.18
50323eb8-5bc9-4725-9d50-41b0889cba6a,21/03/2021 08:17,21/03/2021 08:52,IEC_62196_T2_COMBO,17.678,CUSTOMER,1076979,5000197,50112,0.585277778,2.438657407,3,Spring,Sunday,63,1113.714
9917c25e-3e7f-4b68-bdea-efab6ba00897,21/03/2021 10:02,21/03/2021 11:32,IEC_62196_T2_COMBO,18.411,CUSTOMER,1076979,5000197,50112,1.508888889,6.287037037,3,Spring,Sunday,71,1307.181
a5dfb876-145d-4da8-b930-975ed9a52c73,21/03/2021 12:44,21/03/2021 13:12,IEC_62196_T2_COMBO,26.37,CUSTOMER,1026848,5000199,50112,0.46,1.916666667,3,Spring,Sunday,68,1793.16
1f041bfa-8676-4d5c-972c-d504c1102e9b,21/03/2021 16:17,21/03/2021 18:01,IEC_62196_T2,11.889,ANONYMOUS,2377311,5000194,50112,1.730277778,7.209490741,3,Spring,Sunday,99,1177.011
b0f5d86a-4be1-4f3d-bb4e-6b39d82965fd,21/03/2021 18:33,21/03/2021 19:04,CHADEMO,8.182,CUSTOMER,1075863,5000196,50112,0.518333333,2.159722222,3,Spring,Sunday,127,1039.114
966f20ac-5b80-48f0-8038-036c8d3fd949,21/03/2021 20:24,21/03/2021 20:54,IEC_62196_T2_COMBO,22.794,CUSTOMER,1073736,5000199,50112,0.503055556,2.096064815,3,Spring,Sunday,129,2940.426
c9df9779-3d5d-4507-981e-a6e034b17c3e,21/03/2021 22:23,21/03/2021 23:15,IEC_62196_T2_COMBO,23.107,CUSTOMER,1073736,5000199,50112,0.862777778,3.594907407,3,Spring,Sunday,108,2495.556
60d80b60-c7b7-4888-b8b6-8175b3bee602,22/03/2021 07:04,22/03/2021 07:55,CHADEMO,27.822,CUSTOMER,1053468,5000194,50112,0.859444444,3.581018519,3,Spring,Monday,56,1558.032
b98b611b-9d73-4891-96d9-08f502de7617,22/03/2021 10:35,22/03/2021 11:09,CHADEMO,8.066,ANONYMOUS,2381052,5000197,50112,0.565277778,2.355324074,3,Spring,Monday,79,637.214
da11616b-0f84-4523-94f3-276de216daf2,22/03/2021 12:56,22/03/2021 13:55,IEC_62196_T2_COMBO,69.717,CUSTOMER,1062181,5000198,50112,0.989444444,4.122685185,3,Spring,Monday,73,5089.341
ede73a66-abf8-40cb-b47d-62c8cc1b40e2,22/03/2021 13:06,22/03/2021 13:32,IEC_62196_T2_COMBO,13.493,ANONYMOUS,2382567,5000196,50112,0.44,1.833333333,3,Spring,Monday,73,984.989
fa95940d-0463-4305-875c-b82ddf230b5d,22/03/2021 14:10,22/03/2021 14:47,IEC_62196_T2_COMBO,30.065,CHARGE_CARD,14263420,5000196,50112,0.606944444,2.528935185,3,Spring,Monday,73,2194.745
c7a6a0ec-c492-4a05-9d39-2f78fbcbbafe,22/03/2021 15:46,22/03/2021 16:20,IEC_62196_T2_COMBO,39.699,CUSTOMER,1073758,5000198,50112,0.568333333,2.368055556,3,Spring,Monday,87,3453.813
e6ef4b3d-e2ea-491f-a6db-65105725a480,22/03/2021 18:35,22/03/2021 19:07,CHADEMO,7.213,CUSTOMER,1056758,5000196,50112,0.523888889,2.18287037,3,Spring,Monday,129,930.477
15b10bcc-91bf-4301-b418-02bade0c0268,22/03/2021 19:16,22/03/2021 19:41,CHADEMO,9.924,CUSTOMER,1076569,5000194,50112,0.426111111,1.775462963,3,Spring,Monday,126,1250.424
d5f2d7c7-ff0c-479b-b1dc-8274a56d0d72,23/03/2021 08:24,23/03/2021 10:12,IEC_62196_T2_COMBO,53.153,CUSTOMER,1062479,5000194,50112,1.787777778,7.449074074,3,Spring,Tuesday,45,2391.885
727d1fc4-a90f-4e27-b7a6-4907a71c9628,23/03/2021 11:07,23/03/2021 11:43,CHADEMO,27.301,ANONYMOUS,2387404,5000196,50112,0.594166667,2.475694444,3,Spring,Tuesday,18,491.418
20841b74-ab0c-4b4e-b430-b3306c6b7638,23/03/2021 17:09,23/03/2021 17:31,IEC_62196_T2_COMBO,17.364,CHARGE_CARD,18212821,5000197,50112,0.351944444,1.466435185,3,Spring,Tuesday,17,295.188
d16cef2b-d378-4290-a115-c867ad3b51e3,23/03/2021 19:52,23/03/2021 20:22,CHADEMO,13.804,CUSTOMER,1076569,5000197,50112,0.491666667,2.048611111,3,Spring,Tuesday,17,234.668
64ffae7a-1985-42ff-b4a0-84166718d0a6,23/03/2021 21:14,23/03/2021 21:50,IEC_62196_T2_COMBO,15.79,CHARGE_CARD,18323993,5000197,50112,0.606388889,2.52662037,3,Spring,Tuesday,19,300.01
9c3700c7-e34e-4386-8b47-0d6b8e6a9330,23/03/2021 22:32,23/03/2021 23:01,CHADEMO,9.71,CUSTOMER,1076569,5000196,50112,0.487777778,2.032407407,3,Spring,Tuesday,22,213.62
